nbr	tag	id	castle_name	location	desc	extra1	extra2	extra3	extra4
0	1	1	u,古魯丁城\0	u,古魯丁城\0	a,	a,	a,	a,	a,
1	1	2	u,狄恩城\0	u,狄恩\0	a,	a,	a,	a,	a,
2	1	3	u,奇岩城\0	u,奇岩\0	a,	a,	a,	a,	a,
3	1	4	u,歐瑞城\0	u,歐瑞\0	a,	a,	a,	a,	a,
4	1	5	u,亞丁城\0	u,亞丁\0	a,	a,	a,	a,	a,
5	1	6	u,因納得立城\0	u,因納得立\0	a,	a,	a,	a,	a,
6	1	7	u,高達特城\0	u,高達特\0	a,	a,	a,	a,	a,
7	1	8	u,魯因城\0	u,魯因\0	a,	a,	a,	a,	a,
8	1	9	u,修加特城\0	u,修加特\0	a,	a,	a,	a,	a,
9	1	21	u,反抗軍要塞\0	u,狄恩\0	u,有豺狼游擊隊的根據地\0	a,	a,	a,	a,
10	1	22	u,古魯丁城鎮月長石廳\0	u,古魯丁城鎮\0	u,在古魯丁城鎮的根據地\0	a,	a,	a,	a,
11	1	23	u,古魯丁城鎮瑪瑙廳\0	u,古魯丁城鎮\0	u,在古魯丁城鎮的根據地\0	a,	a,	a,	a,
12	1	24	u,古魯丁城鎮黃玉廳\0	u,古魯丁城鎮\0	u,在古魯丁城鎮的根據地\0	a,	a,	a,	a,
13	1	25	u,古魯丁城鎮紅寶石廳\0	u,古魯丁城鎮\0	u,在古魯丁城鎮的根據地\0	a,	a,	a,	a,
14	1	26	u,古魯丁村莊水晶廳\0	u,古魯丁村莊\0	u,在古魯丁村莊的根據地\0	a,	a,	a,	a,
15	1	27	u,古魯丁村莊瑪瑙廳\0	u,古魯丁村莊\0	u,在古魯丁村莊的根據地\0	a,	a,	a,	a,
16	1	28	u,古魯丁村莊藍寶石廳\0	u,古魯丁村莊\0	u,在古魯丁村莊的根據地\0	a,	a,	a,	a,
17	1	29	u,古魯丁村莊月長石廳\0	u,古魯丁村莊\0	u,在古魯丁村莊的根據地\0	a,	a,	a,	a,
18	1	30	u,古魯丁村莊綠寶石廳\0	u,古魯丁村莊\0	u,在古魯丁村莊的根據地\0	a,	a,	a,	a,
19	1	31	u,狄恩黑之公館\0	u,狄恩\0	u,在狄恩城鎮的根據地\0	a,	a,	a,	a,
20	1	32	u,狄恩紅之公館\0	u,狄恩\0	u,在狄恩城鎮的根據地\0	a,	a,	a,	a,
21	1	33	u,狄恩綠之公館\0	u,狄恩\0	u,在狄恩城鎮的根據地\0	a,	a,	a,	a,
22	1	34	u,毀壞的城堡\0	u,亞丁\0	a,	a,	a,	a,	a,
23	1	35	u,山賊城寨\0	u,歐瑞\0	a,	a,	a,	a,	a,
24	1	36	u,亞丁黃金接待室\0	u,亞丁\0	u,在亞丁城鎮的高級根據地\0	a,	a,	a,	a,
25	1	37	u,亞丁白銀接待室\0	u,亞丁\0	u,在亞丁城鎮的高級根據地\0	a,	a,	a,	a,
26	1	38	u,亞丁米索莉接待室\0	u,亞丁\0	u,在亞丁城鎮的高級根據地\0	a,	a,	a,	a,
27	1	39	u,亞丁銀色小屋\0	u,亞丁\0	u,在亞丁城鎮的高級根據地\0	a,	a,	a,	a,
28	1	40	u,亞丁金色小屋\0	u,亞丁\0	u,在亞丁城鎮的高級根據地\0	a,	a,	a,	a,
29	1	41	u,亞丁青銅接待室\0	u,亞丁\0	u,在亞丁城鎮的高級根據地\0	a,	a,	a,	a,
30	1	42	u,奇岩黃金接待室\0	u,奇岩\0	u,在奇岩城鎮的高級根據地\0	a,	a,	a,	a,
31	1	43	u,奇岩白銀接待室\0	u,奇岩\0	u,在奇岩城鎮的高級根據地\0	a,	a,	a,	a,
32	1	44	u,奇岩米索莉接待室\0	u,奇岩\0	u,在奇岩城鎮的高級根據地\0	a,	a,	a,	a,
33	1	45	u,奇岩青銅接待室\0	u,奇岩\0	u,在奇岩城鎮的高級根據地\0	a,	a,	a,	a,
