flts[0]	flts[1]	flts[2]	ints[0]	ints[1]	ints[2]	ints[3]	ints[4]	ints[5]
180167.00000000	-252274.00000000	-10874.00000000	17431	17432	17433	17434	17451	17435
180167.00000000	-252274.00000000	-10874.00000000	17431	17432	17433	17434	17418	17418
180167.00000000	-252274.00000000	-10874.00000000	17408	17409	17410	17411	17458	0
180167.00000000	-252274.00000000	-10874.00000000	17408	17409	17410	17411	17459	17412
181190.00000000	-252274.00000000	-10874.00000000	17403	17404	17405	17406	17456	17456
181190.00000000	-252274.00000000	-10874.00000000	17403	17404	17405	17406	17383	0
181190.00000000	-252274.00000000	-10874.00000000	17408	17409	17410	17411	17333	0
181190.00000000	-252274.00000000	-10874.00000000	17408	17409	17410	17411	17392	17392
182213.00000000	-252274.00000000	-10874.00000000	17345	17346	17347	17348	17324	17324
182213.00000000	-252274.00000000	-10874.00000000	17345	17346	17347	17348	17422	17422
182213.00000000	-252274.00000000	-10874.00000000	17442	17443	17444	17445	17334	17334
182213.00000000	-252274.00000000	-10874.00000000	17442	17443	17444	17445	17425	0
183237.00000000	-252274.00000000	-10874.00000000	17339	17340	17341	17342	17420	17420
183237.00000000	-252274.00000000	-10874.00000000	17345	17346	17347	17348	17387	17387
183237.00000000	-252274.00000000	-10874.00000000	17316	17317	17318	17319	17426	17426
183237.00000000	-252274.00000000	-10874.00000000	17316	17317	17318	17319	17332	17480
184261.00000000	-252274.00000000	-10874.00000000	17397	17398	17399	17400	17327	0
184261.00000000	-252274.00000000	-10874.00000000	17397	17398	17399	17400	17419	0
185285.00000000	-252274.00000000	-10874.00000000	17345	17346	17347	17348	17452	0
185285.00000000	-252274.00000000	-10874.00000000	17339	17340	17341	17342	17423	17423
