id[0]	id[1]	id[2]	id[3]	id[4]	id[5]	id[6]	name
0	88	55	82	39	39	38	u,施予近身戰鬥型傷害。可以轉職為各種物理戰鬥型戰士。\0
1	88	55	82	39	39	38	u,施予近身戰鬥型傷害。專攻近身武器、重裝甲以及輕裝甲。\0
2	88	55	82	39	39	38	u,施予近身戰鬥型傷害。使用雙刀，並裝備重裝甲或輕裝甲，其特徵是運用鬥力來進行攻擊。\0
3	88	55	82	39	39	38	u,施予近身戰鬥型傷害。使用槍，並裝備重裝甲。擅長於使用槍的範圍攻擊。\0
4	88	55	82	39	39	38	u,屬於防禦型前鋒。使用長劍以及鈍器，並裝備重裝甲和盾牌。透過挑撥，將敵人的仇恨值集中於自己身上。\0
5	88	55	82	39	39	38	u,屬於防禦型前鋒。使用長劍以及鈍器，並裝備重裝甲和盾牌。透過挑撥，將敵人的仇恨值集中於自己身上。\0
6	88	55	82	39	39	38	u,屬於防禦型前鋒。使用長劍以及鈍器，並裝備重裝甲和盾牌。透過挑撥，將敵人的仇恨值集中於自己身上。\0
7	88	55	82	39	39	38	u,屬於背後襲擊以及遠距離攻擊型戰士。使用匕首和弓類，並裝備輕裝甲。\0
8	88	55	82	39	39	38	u,施予背後襲擊型傷害。使用匕首，並裝備輕裝甲。\0
9	88	55	82	39	39	38	u,施予遠距離攻擊型傷害。使用弓類，並裝備輕裝甲。\0
10	38	27	41	79	78	78	u,施予魔法攻擊型傷害。可以轉職為各種可施展魔法傷害以及輔助魔法的法師。\0
11	38	27	41	79	78	78	u,施予魔法攻擊型傷害。專攻魔法武器以及長袍，其特徵是運用魔法施予強悍的攻擊。\0
12	38	27	41	79	78	78	u,施予魔法攻擊型傷害。專攻魔法武器以及長袍，其特徵是運用魔法施予強悍的攻擊。\0
13	38	27	41	79	78	78	u,施予魔法攻擊型傷害。專攻魔法武器以及長袍，其特徵是運用魔法施予強悍的攻擊。\0
14	38	27	41	79	78	78	u,利用使魔施予傷害。專攻魔法武器以及長袍。召喚貓來進行戰鬥。\0
15	38	27	41	79	78	78	u,屬於隊伍支援型法師。專攻魔法武器以及長袍。利用強化魔法可提升隊員的能力。\0
16	38	27	41	79	78	78	u,屬於隊伍支援型法師。專攻魔法武器以及長袍。利用治癒魔法可恢復隊員的體力。\0
17	38	27	41	79	78	78	u,屬於隊伍支援型法師。使用單手鈍器和長袍。利用強化魔法可提升隊員的能力。\0
18	82	61	82	41	38	37	u,施予近身戰鬥型傷害。可以轉職為各種物理戰鬥型戰士。\0
19	82	61	82	41	38	37	u,屬於防禦型前鋒。使用長劍以及鈍器，並裝備重裝甲和盾牌。透過挑撥，將敵人的仇恨值集中於自己身上。\0
20	82	61	82	41	38	37	u,屬於防禦型前鋒。使用長劍以及鈍器，並裝備重裝甲和盾牌。透過挑撥，將敵人的仇恨值集中於自己身上。\0
21	82	61	82	41	38	37	u,屬於隊伍支援型戰士。使用長劍、鈍器以及重裝甲。透過唱歌，可以提升隊員的能力。\0
22	82	61	82	41	38	37	u,屬於背後襲擊以及遠距離攻擊型戰士。使用匕首和弓類，並裝備輕裝甲。\0
23	82	61	82	41	38	37	u,施予背後襲擊型傷害。使用匕首，並裝備輕裝甲。\0
24	82	61	82	41	38	37	u,施予遠距離攻擊型傷害。使用弓類，並裝備輕裝甲。\0
25	36	32	38	74	84	77	u,施予魔法攻擊型傷害。可以轉職為各種可施展魔法傷害以及輔助魔法的法師。\0
26	36	32	38	74	84	77	u,施予魔法攻擊型傷害。專攻魔法武器以及長袍，其特徵是運用魔法施予強悍的攻擊。\0
