Nume	UNK_STR	UNK_INT[0]	UNK_INT[1]	UNK_INT[2]	UNK_INT[3]	UNK_INT[4]	UNK_INT[5]	UNK_INT[6]	UNK_INT[7]	UNK_INT[8]
1	u,말섬던전\0	50172	40459	251111	241581	-4874	-6874	260	2478	0
2	u,이단자의 카타콤\0	-40000	-58000	-236000	-256000	-3780	-9000	1011	2034	0
3	u,이교도의 카타콤\0	-6600	-27000	-238000	-254000	-3780	-9000	1185	1704	0
4	u,밀계의 카타콤\0	24000	8000	-243000	-2500000	-3780	-10000	1377	1731	0
5	u,사교의 신전\0	-6566	-25277	-34511	-57705	-7039	-11505	1000	1039	0
6	u,올림피아드경기장1\0	-65536	-98304	-196609	-229377	0	-5000	717	1203	0
7	u,올림피아드경기장2\0	-65536	-98304	-229377	-262145	0	-5000	717	1203	0
8	u,올림피아드경기장3\0	-98304	-131072	-196609	-229377	0	-5000	717	1203	0
9	u,진멸의 씨앗 던전\0	-204852	-221464	188835	171799	-9367	-16053	742	2023	1
10	u,프린테샤 보스전\0	-85369	-90181	-139281	-155787	-5807	-9442	1754	905	0
11	u,강철의 성\0	20434	12149	284485	274896	-5808	-10482	805	2526	0
12	u,파이라카 악마섬\0	91632	69884	-203699	-228444	-881	-4935	1070	2360	0
13	u,성녀의 봉인\0	50112	41024	-245216	-254096	-5440	-7293	1396	906	0
14	u,성녀의 관실\0	57744	54480	-249152	-254496	-5440	-7280	1396	906	0
15	u,성스러운 묘소\0	90080	80736	-245312	-254128	-7088	-9088	1396	906	0
16	u,엘카디아 거처\0	90112	89168	-237552	-238640	-9392	-9776	1071	915	0
17	u,하르나크 던전1\0	-99437	-130530	155805	135378	-3936	-16353	208	2501	0
18	u,하르나크 던전2\0	-99361	-130490	187898	166912	-4800	-16256	208	2501	0
19	u,벨리스의 미궁\0	-115881	-121126	215505	210385	-6930	-9808	284	2481	0
20	u,오르비스 전당\0	220635	205434	56639	41613	-5120	-16128	1816	1720	0
21	u,보급형 아지트\0	-110591	-122855	-110621	-122880	-5458	-5992	251	2582	0
22	u,어둠의 유배지\0	188234	172140	150243	139230	-7680	-12600	1900	1766	0
23	u,포르투나,4대영묘\0	57520	40934	-172023	-179009	-6639	-8126	1706	888	0
24	u,3차 전직 장소\0	184593	176351	20248	12341	-6249	-13824	1697	1413	0
25	u,4차 전직 장소\0	-106647	-109599	213331	204858	-9875	-11241	208	2501	0
26	u,어스웜\0	89867	73452	-172108	-188071	-5760	-11056	1354	307	0
27	u,요새\0	53308	47843	-11410	-13041	-8000	-10016	885	1068	0
28	u,올림피아드\0	-73626	-90415	-237538	-254336	-1168	-8752	717	1230	0
29	u,박물관, 훈련장\0	-113120	-116365	249340	242994	-6263	-8321	251	2582	0
30	u,블러디베인의 은신처\0	40817	57274	-188487	-182334	-6653	-8133	1706	888	0
31	u,업화의 씨앗\0	-131152	-163790	261904	-5732	-6653	-14500	410	2048	1
32	u,노르닐의 정원\0	-111376	-122528	89948	84500	-12152	-13118	400	1600	0
