id	int1	int2	enable_?	tip[0]	tip[1]
1	3	101	1	u,將靈魂彈拖曳到快速鍵，並點擊滑鼠右鍵，\\n即可使用「自動靈魂彈功能」。\0	a,
2	2	102	1	u,奧林匹亞競技的進行時間為星期四﹑星期五﹑星期六﹑星期日21時～24時40分，\\n可透過奧林匹亞管理者報名參加。\0	a,L2Font-tw.Loading_system_4184_004\0
3	2	0	1	u,在網咖執行雙視窗遊戲（在一台電腦執行兩個帳號）時，至少要將一個帳號進行定額付費才可執行。\\n 另外，在網咖進行遊戲途中，準備要啟用下一次的付費時，將會結束一連串的連線狀態。\0	a,
4	2	0	1	u,遊戲內的一天為實際時間的四小時，白晝為三小時，夜晚為一小時。\\n 可利用「/時間」 指令來確認遊戲內的時間。\0	a,
5	3	0	1	u,即使不使用滑鼠，也可利用Page Up﹑Page Down鍵來變換視角。\0	a,
6	3	0	1	u,即使不使用滑鼠，也可利用Alt+（Page Up, Page Down）鍵來變換對話框。\0	a,
7	3	0	1	u,為了能夠提供客戶更穩定的服務，新天堂II將會在每週三早上07:00~12:00\\n進行遊戲伺服器及網站的定期維護。\0	a,
8	1	0	1	u,完成第三次轉職的85級以上之角色，可受到古代巨人英雄的召喚而邁入覺醒的第一步。\0	a,
9	1	0	1	u,若無法看到遊戲畫面的部分視窗，可利用環境設定（Alt+X）選擇畫面顯示頁的「視窗位置初始化」按鈕，\\n來將看不到的視窗歸回原來的位置。\0	a,
10	3	101	1	u,若要在遊戲內邀請朋友或刪除朋友，可利用「/邀請好友」﹑「/刪除好友」指令進行。\\n 也可利用熱鍵(alt+Y)或是「/好友名單」指令進行管理。\0	a,
11	2	101	1	u,同一個帳號內的角色是無法共用倉庫的。若要移動道具，可利用郵件系統。\\n使用「/郵件信箱」指令即可查看信箱。\0	a,
12	3	0	1	u,出現角色可執行的任務時，NPC的頭上會出現卷軸的標示。\\n請尋找頭上有卷軸標示的NPC接受任務吧。\0	a,
13	3	0	1	u,角色的個人倉庫內可保管的道具共有100格（矮人有120格），\\n透過釣魚學習「擴充倉庫」技能時，最多可擴充48格。\0	a,
14	4	0	1	u,快速鍵下方的大鎖圖示可將登錄在快速鍵上的圖示固定起來。\0	a,
15	3	0	1	u,可從各村莊的冒險家會員NPC及地圖上的世界情報中，確認任務情報及狩獵情報。\0	a,
16	1	0	1	u,在遊戲內使用「/隔絕 角色名稱」指令，可阻隔與指定角色的對話。\0	a,
17	3	0	1	u,若不繳納競賣型根據地的租金，即會顯示未繳費的訊息。\\n若七日內尚未繳付，根據地所有權將會自動消失。\0	a,
18	4	0	1	u,只有城主﹑要塞擁有者及部分的根據地擁有者，或是利用活動點數才可搭乘飛龍，\\n可搭乘飛龍的根據地為亡者要塞及毀壞的城堡根據地。\0	a,
19	3	0	1	u,要使用產生道具的技能或是點擊道具來取得新道具時，\\n個人道具清單的重量要在80%以下，並且有10格以上的空間。\0	a,
