id	dye_id	name	icon	symbol_add_name	symbol_add_desc
1	4445	u,力量紋章\0	a,icon.etc_str_symbol_i00\0	a,Str+1 Con-3\0	a,Str+1 Con-3\0
2	4446	u,力量紋章\0	a,icon.etc_str_symbol_i00\0	a,Str+1 Dex-3\0	a,Str+1 Dex-3\0
3	4447	u,體質紋章\0	a,icon.etc_con_symbol_i00\0	a,Con+1 Str-3\0	a,Con+1 Str-3\0
4	4448	u,體質紋章\0	a,icon.etc_con_symbol_i00\0	a,Con+1 Dex-3\0	a,Con+1 Dex-3\0
5	4449	u,敏捷紋章\0	a,icon.etc_dex_symbol_i00\0	a,Dex+1 Str-3\0	a,Dex+1 Str-3\0
6	4450	u,敏捷紋章\0	a,icon.etc_dex_symbol_i00\0	a,Dex+1 Con-3\0	a,Dex+1 Con-3\0
7	4451	u,智力紋章\0	a,icon.etc_int_symbol_i00\0	a,Int+1 Men-3\0	a,Int+1 Men-3\0
8	4452	u,智力紋章\0	a,icon.etc_int_symbol_i00\0	a,Int+1 Wit-3\0	a,Int+1 Wit-3\0
9	4453	u,精神紋章\0	a,icon.etc_men_symbol_i00\0	a,Men+1 Int-3\0	a,Men+1 Int-3\0
10	4454	u,精神紋章\0	a,icon.etc_men_symbol_i00\0	a,Men+1 Wit-3\0	a,Men+1 Wit-3\0
11	4455	u,智慧紋章\0	a,icon.etc_wit_symbol_i00\0	a,Wit+1 Int-3\0	a,Wit+1 Int-3\0
12	4456	u,智慧紋章\0	a,icon.etc_wit_symbol_i00\0	a,Wit+1 Men-3\0	a,Wit+1 Men-3\0
13	4457	u,力量紋章\0	a,icon.etc_str_symbol_i00\0	a,Str+1 Con-2\0	a,Str+1 Con-2\0
14	4458	u,力量紋章\0	a,icon.etc_str_symbol_i00\0	a,Str+1 Dex-2\0	a,Str+1 Dex-2\0
15	4459	u,體質紋章\0	a,icon.etc_con_symbol_i00\0	a,Con+1 Str-2\0	a,Con+1 Str-2\0
16	4460	u,體質紋章\0	a,icon.etc_con_symbol_i00\0	a,Con+1 Dex-2\0	a,Con+1 Dex-2\0
17	4461	u,敏捷紋章\0	a,icon.etc_dex_symbol_i00\0	a,Dex+1 Str-2\0	a,Dex+1 Str-2\0
18	4462	u,敏捷紋章\0	a,icon.etc_dex_symbol_i00\0	a,Dex+1 Con-2\0	a,Dex+1 Con-2\0
19	4463	u,智力紋章\0	a,icon.etc_int_symbol_i00\0	a,Int+1 Men-2\0	a,Int+1 Men-2\0
20	4464	u,智力紋章\0	a,icon.etc_int_symbol_i00\0	a,Int+1 Wit-2\0	a,Int+1 Wit-2\0
21	4465	u,精神紋章\0	a,icon.etc_men_symbol_i00\0	a,Men+1 Int-2\0	a,Men+1 Int-2\0
22	4466	u,精神紋章\0	a,icon.etc_men_symbol_i00\0	a,Men+1 Wit-2\0	a,Men+1 Wit-2\0
23	4467	u,智慧紋章\0	a,icon.etc_wit_symbol_i00\0	a,Wit+1 Int-2\0	a,Wit+1 Int-2\0
24	4468	u,智慧紋章\0	a,icon.etc_wit_symbol_i00\0	a,Wit+1 Men-2\0	a,Wit+1 Men-2\0
25	4469	u,力量紋章\0	a,icon.etc_str_symbol_i00\0	a,Str+1 Con-1\0	a,Str+1 Con-1\0
26	4470	u,力量紋章\0	a,icon.etc_str_symbol_i00\0	a,Str+1 Dex-1\0	a,Str+1 Dex-1\0
27	4471	u,體質紋章\0	a,icon.etc_con_symbol_i00\0	a,Con+1 Str-1\0	a,Con+1 Str-1\0
28	4472	u,體質紋章\0	a,icon.etc_con_symbol_i00\0	a,Con+1 Dex-1\0	a,Con+1 Dex-1\0
29	4473	u,敏捷紋章\0	a,icon.etc_dex_symbol_i00\0	a,Dex+1 Str-1\0	a,Dex+1 Str-1\0
30	4474	u,敏捷紋章\0	a,icon.etc_dex_symbol_i00\0	a,Dex+1 Con-1\0	a,Dex+1 Con-1\0
31	4475	u,智力紋章\0	a,icon.etc_int_symbol_i00\0	a,Int+1 Men-1\0	a,Int+1 Men-1\0
32	4476	u,智力紋章\0	a,icon.etc_int_symbol_i00\0	a,Int+1 Wit-1\0	a,Int+1 Wit-1\0
33	4477	u,精神紋章\0	a,icon.etc_men_symbol_i00\0	a,Men+1 Int-1\0	a,Men+1 Int-1\0
34	4478	u,精神紋章\0	a,icon.etc_men_symbol_i00\0	a,Men+1 Wit-1\0	a,Men+1 Wit-1\0
35	4479	u,智慧紋章\0	a,icon.etc_wit_symbol_i00\0	a,Wit+1 Int-1\0	a,Wit+1 Int-1\0
36	4480	u,智慧紋章\0	a,icon.etc_wit_symbol_i00\0	a,Wit+1 Men-1\0	a,Wit+1 Men-1\0
37	4481	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+1 Con-3\0	a,Str+1 Con-3\0
38	4482	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+1 Dex-3\0	a,Str+1 Dex-3\0
39	4483	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+1 Str-3\0	a,Con+1 Str-3\0
40	4484	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+1 Dex-3\0	a,Con+1 Dex-3\0
41	4485	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+1 Str-3\0	a,Dex+1 Str-3\0
42	4486	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+1 Con-3\0	a,Dex+1 Con-3\0
43	4487	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+1 Men-3\0	a,Int+1 Men-3\0
44	4488	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+1 Wit-3\0	a,Int+1 Wit-3\0
45	4489	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+1 Int-3\0	a,Men+1 Int-3\0
46	4490	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+1 Wit-3\0	a,Men+1 Wit-3\0
47	4491	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+1 Int-3\0	a,Wit+1 Int-3\0
48	4492	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+1 Men-3\0	a,Wit+1 Men-3\0
49	4493	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+1 Con-2\0	a,Str+1 Con-2\0
50	4494	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+1 Dex-2\0	a,Str+1 Dex-2\0
51	4495	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+1 Str-2\0	a,Con+1 Str-2\0
52	4496	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+1 Dex-2\0	a,Con+1 Dex-2\0
53	4497	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+1 Str-2\0	a,Dex+1 Str-2\0
54	4498	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+1 Con-2\0	a,Dex+1 Con-2\0
55	4499	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+1 Men-2\0	a,Int+1 Men-2\0
56	4500	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+1 Wit-2\0	a,Int+1 Wit-2\0
57	4501	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+1 Int-2\0	a,Men+1 Int-2\0
58	4502	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+1 Wit-2\0	a,Men+1 Wit-2\0
59	4503	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+1 Int-2\0	a,Wit+1 Int-2\0
60	4504	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+1 Men-2\0	a,Wit+1 Men-2\0
61	4505	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+2 Con-4\0	a,Str+2 Con-4\0
62	4506	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+2 Dex-4\0	a,Str+2 Dex-4\0
63	4507	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+2 Str-4\0	a,Con+2 Str-4\0
64	4508	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+2 Dex-4\0	a,Con+2 Dex-4\0
65	4509	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+2 Str-4\0	a,Dex+2 Str-4\0
66	4510	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+2 Con-4\0	a,Dex+2 Con-4\0
67	4511	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+2 Men-4\0	a,Int+2 Men-4\0
68	4512	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+2 Wit-4\0	a,Int+2 Wit-4\0
69	4513	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+2 Int-4\0	a,Men+2 Int-4\0
70	4514	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+2 Wit-4\0	a,Men+2 Wit-4\0
71	4515	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+2 Int-4\0	a,Wit+2 Int-4\0
72	4516	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+2 Men-4\0	a,Wit+2 Men-4\0
73	4517	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+2 Con-3\0	a,Str+2 Con-3\0
74	4518	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+2 Dex-3\0	a,Str+2 Dex-3\0
75	4519	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+2 Str-3\0	a,Con+2 Str-3\0
76	4520	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+2 Dex-3\0	a,Con+2 Dex-3\0
77	4521	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+2 Str-3\0	a,Dex+2 Str-3\0
78	4522	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+2 Con-3\0	a,Dex+2 Con-3\0
79	4523	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+2 Men-3\0	a,Int+2 Men-3\0
80	4524	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+2 Wit-3\0	a,Int+2 Wit-3\0
81	4525	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+2 Int-3\0	a,Men+2 Int-3\0
82	4526	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+2 Wit-3\0	a,Men+2 Wit-3\0
83	4527	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+2 Int-3\0	a,Wit+2 Int-3\0
84	4528	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+2 Men-3\0	a,Wit+2 Men-3\0
85	4529	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+3 Con-5\0	a,Str+3 Con-5\0
86	4530	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+3 Dex-5\0	a,Str+3 Dex-5\0
87	4531	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+3 Str-5\0	a,Con+3 Str-5\0
88	4532	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+3 Dex-5\0	a,Con+3 Dex-5\0
89	4533	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+3 Str-5\0	a,Dex+3 Str-5\0
90	4534	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+3 Con-5\0	a,Dex+3 Con-5\0
91	4535	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+3 Men-5\0	a,Int+3 Men-5\0
92	4536	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+3 Wit-5\0	a,Int+3 Wit-5\0
93	4537	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+3 Int-5\0	a,Men+3 Int-5\0
94	4538	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+3 Wit-5\0	a,Men+3 Wit-5\0
95	4539	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+3 Int-5\0	a,Wit+3 Int-5\0
96	4540	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+3 Men-5\0	a,Wit+3 Men-5\0
97	4541	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+3 Con-4\0	a,Str+3 Con-4\0
98	4542	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+3 Dex-4\0	a,Str+3 Dex-4\0
99	4543	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+3 Str-4\0	a,Con+3 Str-4\0
100	4544	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+3 Dex-4\0	a,Con+3 Dex-4\0
101	4545	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+3 Str-4\0	a,Dex+3 Str-4\0
102	4546	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+3 Con-4\0	a,Dex+3 Con-4\0
103	4547	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+3 Men-4\0	a,Int+3 Men-4\0
104	4548	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+3 Wit-4\0	a,Int+3 Wit-4\0
105	4549	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+3 Int-4\0	a,Men+3 Int-4\0
106	4550	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+3 Wit-4\0	a,Men+3 Wit-4\0
107	4551	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+3 Int-4\0	a,Wit+3 Int-4\0
108	4552	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+3 Men-4\0	a,Wit+3 Men-4\0
109	4553	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+1 Con-1\0	a,Str+1 Con-1\0
110	4554	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+1 Dex-1\0	a,Str+1 Dex-1\0
111	4555	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+1 Str-1\0	a,Con+1 Str-1\0
112	4556	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+1 Dex-1\0	a,Con+1 Dex-1\0
113	4557	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+1 Str-1\0	a,Dex+1 Str-1\0
114	4558	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+1 Con-1\0	a,Dex+1 Con-1\0
115	4559	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+1 Men-1\0	a,Int+1 Men-1\0
116	4560	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+1 Wit-1\0	a,Int+1 Wit-1\0
117	4561	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+1 Int-1\0	a,Men+1 Int-1\0
118	4562	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+1 Wit-1\0	a,Men+1 Wit-1\0
119	4563	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+1 Int-1\0	a,Wit+1 Int-1\0
120	4564	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+1 Men-1\0	a,Wit+1 Men-1\0
121	4565	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+4 Con-6\0	a,Str+4 Con-6\0
122	4566	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+4 Dex-6\0	a,Str+4 Dex-6\0
123	4567	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+4 Str-6\0	a,Con+4 Str-6\0
124	4568	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+4 Dex-6\0	a,Con+4 Dex-6\0
125	4569	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+4 Str-6\0	a,Dex+4 Str-6\0
126	4570	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+4 Con-6\0	a,Dex+4 Con-6\0
127	4571	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+4 Men-6\0	a,Int+4 Men-6\0
128	4572	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+4 Wit-6\0	a,Int+4 Wit-6\0
129	4573	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+4 Int-6\0	a,Men+4 Int-6\0
130	4574	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+4 Wit-6\0	a,Men+4 Wit-6\0
131	4575	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+4 Int-6\0	a,Wit+4 Int-6\0
132	4576	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+4 Men-6\0	a,Wit+4 Men-6\0
133	4577	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+4 Con-5\0	a,Str+4 Con-5\0
134	4578	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+4 Dex-5\0	a,Str+4 Dex-5\0
135	4579	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+4 Str-5\0	a,Con+4 Str-5\0
136	4580	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+4 Dex-5\0	a,Con+4 Dex-5\0
137	4581	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+4 Str-5\0	a,Dex+4 Str-5\0
138	4582	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+4 Con-5\0	a,Dex+4 Con-5\0
139	4583	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+4 Men-5\0	a,Int+4 Men-5\0
140	4584	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+4 Wit-5\0	a,Int+4 Wit-5\0
141	4585	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+4 Int-5\0	a,Men+4 Int-5\0
142	4586	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+4 Wit-5\0	a,Men+4 Wit-5\0
143	4587	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+4 Int-5\0	a,Wit+4 Int-5\0
144	4588	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+4 Men-5\0	a,Wit+4 Men-5\0
145	4589	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+2 Con-2\0	a,Str+2 Con-2\0
146	4590	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+2 Dex-2\0	a,Str+2 Dex-2\0
147	4591	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+2 Str-2\0	a,Con+2 Str-2\0
148	4592	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+2 Dex-2\0	a,Con+2 Dex-2\0
149	4593	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+2 Str-2\0	a,Dex+2 Str-2\0
150	4594	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+2 Con-2\0	a,Dex+2 Con-2\0
151	4595	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+2 Men-2\0	a,Int+2 Men-2\0
152	4596	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+2 Wit-2\0	a,Int+2 Wit-2\0
153	4597	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+2 Int-2\0	a,Men+2 Int-2\0
154	4598	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+2 Wit-2\0	a,Men+2 Wit-2\0
155	4599	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+2 Int-2\0	a,Wit+2 Int-2\0
156	4600	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+2 Men-2\0	a,Wit+2 Men-2\0
157	4601	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+3 Con-3\0	a,Str+3 Con-3\0
158	4602	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+3 Dex-3\0	a,Str+3 Dex-3\0
159	4603	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+3 Str-3\0	a,Con+3 Str-3\0
160	4604	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+3 Dex-3\0	a,Con+3 Dex-3\0
161	4605	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+3 Str-3\0	a,Dex+3 Str-3\0
162	4606	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+3 Con-3\0	a,Dex+3 Con-3\0
163	4607	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+3 Men-3\0	a,Int+3 Men-3\0
164	4608	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+3 Wit-3\0	a,Int+3 Wit-3\0
165	4609	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+3 Int-3\0	a,Men+3 Int-3\0
166	4610	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+3 Wit-3\0	a,Men+3 Wit-3\0
167	4611	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+3 Int-3\0	a,Wit+3 Int-3\0
168	4612	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+3 Men-3\0	a,Wit+3 Men-3\0
169	4613	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+4 Con-4\0	a,Str+4 Con-4\0
170	4614	u,高級力量紋章\0	a,icon.etc_str_symbol_i01\0	a,Str+4 Dex-4\0	a,Str+4 Dex-4\0
171	4615	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+4 Str-4\0	a,Con+4 Str-4\0
172	4616	u,高級體質紋章\0	a,icon.etc_con_symbol_i01\0	a,Con+4 Dex-4\0	a,Con+4 Dex-4\0
173	4617	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+4 Str-4\0	a,Dex+4 Str-4\0
174	4618	u,高級敏捷紋章\0	a,icon.etc_dex_symbol_i01\0	a,Dex+4 Con-4\0	a,Dex+4 Con-4\0
175	4619	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+4 Men-4\0	a,Int+4 Men-4\0
176	4620	u,高級智力紋章\0	a,icon.etc_int_symbol_i01\0	a,Int+4 Wit-4\0	a,Int+4 Wit-4\0
177	4621	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+4 Int-4\0	a,Men+4 Int-4\0
178	4622	u,高級精神紋章\0	a,icon.etc_men_symbol_i01\0	a,Men+4 Wit-4\0	a,Men+4 Wit-4\0
179	4623	u,高級智慧紋章\0	a,icon.etc_wit_symbol_i01\0	a,Wit+4 Int-4\0	a,Wit+4 Int-4\0
