npc_id	skill_id	seq_name	skill_name	npc_name	npc_class
10454	5197	spatk02	a,s_hex1\0	a,marsh_stakato_drone\0	a,warrior\0
10292	5197	spatk01	a,s_hex1\0	a,ol_mahum_commander\0	a,warrior\0
10282	122	spatk02	a,s_hex1\0	a,ol_mahum_captain\0	a,warrior\0
10314	122	spatk01	a,s_hex11\0	a,orc_fighter_leader\0	a,warrior\0
10381	122	spatk01	a,s_hex12\0	a,ol_mahum_champion\0	a,warrior\0
10432	325	atk01	a,s_strider_siege_assault\0	a,turmak\0	a,warrior\0
10478	325	atk01	a,s_strider_siege_assault\0	a,batur_orc_shaman\0	a,warrior\0
10479	325	atk01	a,s_strider_siege_assault\0	a,batur_orc_overlord\0	a,warrior\0
10480	327	Wait	a,s_wyvern_aegis\0	a,orc_champion\0	a,warrior\0
10481	5200	spatk02	a,s_recharge11\0	a,orc_shaman\0	a,warrior\0
10511	1013	spatk01	a,s_recharge11\0	a,enku_orc_champion\0	a,warrior\0
10512	1013	spatk02	a,s_recharge11\0	a,enku_orc_shaman\0	a,warrior\0
10254	1013	spatk01	a,s_recharge121\0	a,poison_spider\0	a,warrior\0
10266	5188	spatk02	a,s_regeneration1\0	a,poison_predator\0	a,warrior\0
10259	5188	spatk01	a,s_regeneration1\0	a,bind_poison_spider\0	a,warrior\0
10424	1044	spatk02	a,s_regeneration1\0	a,bloody_bee\0	a,warrior\0
10448	1044	spatk01	a,s_regeneration3\0	a,crimson_ant\0	a,warrior\0
10453	1044	spatk01	a,s_regeneration3\0	a,marsh_spider\0	a,warrior\0
10440	5189	spatk02	a,s_bless_the_body1\0	a,dicor\0	a,warrior\0
10253	5189	spatk01	a,s_bless_the_body1\0	a,mana_vampire\0	a,warrior\0
10369	5189	spatk02	a,s_bless_the_body1\0	a,magical_weaver\0	a,warrior\0
10252	5189	social02	a,s_bless_the_body5\0	a,lirein\0	a,warrior\0
10260	5189	social02	a,s_bless_the_body5\0	a,lirein_ribe\0	a,warrior\0
10373	5190	spatk02	a,s_bless_the_soul1\0	a,marsh_stakato\0	a,warrior\0
10303	5190	spatk01	a,s_bless_the_soul1\0	a,ant_soldier\0	a,warrior\0
10514	5190	spatk02	a,s_bless_the_soul1\0	a,virud_lizardman_matriarch\0	a,warrior\0
10520	5190	spatk01	a,s_bless_the_soul5\0	a,zenta_lizardman_matriarch\0	a,warrior\0
10476	5194	spatk02	a,s_empower1\0	a,batur_orc_archer\0	a,warrior\0
10477	5194	spatk01	a,s_empower1\0	a,batur_orc_warrior\0	a,warrior\0
10467	5194	spatk02	a,s_empower1\0	a,bloody_queen\0	a,warrior\0
10450	5194	social02	a,s_empower3\0	a,marsh_stakato_worker\0	a,warrior\0
10394	5201	spatk02	a,s_concentration1\0	a,skeleton_knight\0	a,warrior\0
10489	5201	spatk01	a,s_concentration1\0	a,breka_orc_shaman\0	a,warrior\0
10298	5201	spatk02	a,s_concentration1\0	a,ant_recurit\0	a,warrior\0
10300	5201	social02	a,s_concentration5\0	a,ant_patrol\0	a,warrior\0
10302	5193	spatk02	a,s_arcane_acumen1\0	a,ant_guard\0	a,warrior\0
30000	5193	spatk01	a,s_arcane_acumen1\0	a,ant_soldier_captain\0	a,?\0
10305	5193	spatk02	a,s_arcane_acumen1\0	a,noble_ant\0	a,warrior\0
10306	5193	spatk01	a,s_arcane_acumen3\0	a,noble_ant_leader\0	a,warrior\0
10448	5186	spatk02	a,s_haste_time_23\0	a,crimson_ant\0	a,warrior\0
10490	5186	spatk01	a,s_haste_time_23\0	a,breka_orc_overlord\0	a,warrior\0
10488	5186	spatk02	a,s_haste_time_23\0	a,breka_orc_archer\0	a,warrior\0
