id	cnt	str[0]	str[1]	str[2]	str[3]	str[4]	str[5]	str[6]	str[7]	str[8]	str[9]
0	3	INTRO	OUTRO	S20_F							
1	6	CC_01	CC_02	CC_03	CC_04	CC_05	CC_06				
162401	4	NF17_F	NF18_F	NF19_F	NF20_F						
162402	4	F17_F	F17_S01	T12_F	T06_S01						
162403	6	ND17_F	ND16_F	ND14_F	ND15_F	ND12_F	ND11_F				
162404	6	NB15_F	ND17_F	NB14_F	ND15_F	B07_F	ND21_F				
162405	6	NB12_F	NB13_F	ND16_F	NB15_F	D08_F	ND21_F				
162501	7	T11_S01	T24_S01	F11_F	F10_S01	OUTRO_L2	S03_S01	S23_S01			
162502	2	NT_Speaking2	INTRO_L1								
162503	2	NS26_F	NS27_F								
162504	1	LS01_F									
162505	5	D07_S01	F15_F	D05_F	D02_S01	F08_S01					
162506	2	NS26_F	NS27_F								
162507	4	NF17_F	NF18_F	NF19_F	NF20_F						
162508	4	NF17_F	NF18_F	NF19_F	NF20_F						
162509	4	NF17_F	NF18_F	NF19_F	NF20_F						
172001	2	T16_F	T16_S01								
172002	5	D07_S02	B02_S01	D06_F	F14_F	F08_S01					
172105	5	D07_F	D06_S02	D04_S01	B03_S02	B01_F					
172101	4	B01_S01	B02_S01	B03_S01	B04_S01						
172102	2	F03_F	F03_S01								
172103	2	T18_F	T18_S01								
172104	2	F07_F	F07_S01								
172201	1	NT_Gludin									
172202	1	S15_L									
172203	1	S16_L									
172204	1	S17_L									
172205	1	S16_D									
172206	1	S18_L									
172207	1	S16_L									
172208	2	S11_F	S11_S01								
172209	2	S01_F	S01_S01								
172210	2	S13_F	S13_S01								
172211	4	B01_S01	B02_S01	B03_S01	B04_S01						
172212	2	F07_F	F07_S01								
172213	3	F17_S01	F17_F	T11_S01							
172214	2	T12_S01	T08_S01								
172301	2	T15_S01	F13_F								
172501	1	NT_Speaking									
172502	1	S15_L									
172503	1	S16_L									
172504	1	S16_D									
172505	1	S17_L									
172507	2	S02_F	S02_S01								
172508	1	CT_Human									
172509	2	S13_F	S13_S01								
172510	2	T09_F	T09_S01								
172511	2	S11_F	S11_S01								
172512	2	F07_F	F07_S01								
172513	2	F07_F	F07_S01								
181401	1	CT_Orc									
181402	1	NT_Orc									
181403	1	T19_F									
181404	1	T19_F									
181405	1	T16_F									
181406	1	T18_F									
181407	1	T17_F									
181408	1	T14_F									
181901	3	D02_F	D02_S01	D02_S02							
182001	2	T05_F	T05_S01								
182002	2	T23_F	T23_S01								
182003	5	F04_S01	B03_S02	D05_S02	D01_F	D06_S02					
182101	8	F02_F	F02_S01	F03_F	F03_S01	F04_F	F04_S01	F05_F	F05_S01		
182201	8	F02_F	F02_S01	F03_F	F03_S01	F04_F	F04_S01	F05_F	F05_S01		
182301	10	F01_F	F01_S01	F02_F	F02_S01	F03_F	F03_S01	F04_F	F04_S01	F06_F	F06_S01
182303	3	D01_F	D01_S01	D01_S02							
182401	2	T18_F	T18_S01								
182402	5	B02_F	D01_F	B01_S01	D07_F	D06_S02					
191301	2	T23_F	T23_S01								
191401	2	T17_F	T17_S01								
191801	5	D05_F	D04_F	D03_S01	B02_F	F04_S01					
191901	8	F02_F	F02_S01	F03_F	F03_S01	F04_F	F04_S01	F05_F	F05_S01		
191902	2	T14_F	T14_S01								
192001	6	D07_S01	F01_F	F15_F	D05_F	D02_S01	F08_S01				
192101	1	NT_Gludio									
192102	1	S15_L									
192103	1	S16_L									
192104	1	S16_D									
192105	1	S17_L									
192106	1	S18_L									
192107	2	S11_F	S11_S01								
192108	2	S01_F	S01_S01								
192109	1	NS13_F									
192110	2	F07_F	F07_S01								
192111	4	T10_F	T10_S01	T05_F	T05_S01						
192201	8	F02_F	F02_S01	F03_F	F03_S01	F04_F	F04_S01	F05_F	F05_S01		
192202	3	F12_F	F12_S01	D02_S02							
192301	3	D07_F	D07_S01	D07_S02							
192302	2	F05_F	F05_S01								
192303	10	F01_F	F01_S01	F02_F	F02_S01	F03_F	F03_S01	F04_F	F04_S01	F06_F	F06_S01
192401	10	F01_F	F01_S01	F02_F	F02_S01	F03_F	F03_S01	F04_F	F04_S01	F06_F	F06_S01
201301	2	T14_F	T14_S01								
201401	3	D07_F	D07_S01	D07_S02							
201501	2	T12_F	T12_S01								
201801	1	NT_DarkElf									
201802	2	S01_F	S01_S01								
201803	1	S16_D									
201804	1	S17_D									
201805	1	S19_D									
201806	1	CT_DarkElf									
202001	3	D03_F	D03_S01	D03_S02							
202101	8	F03_F	F03_S01	F04_F	F04_S01	F05_F	F05_S01	F06_F	F06_S01		
202102	3	D04_F	D04_S01	D04_S02							
202103	2	T23_F	T23_S01								
202201	1	NT_Dion									
202202	1	S18_L									
202203	1	S15_L									
202204	1	S16_L									
202205	1	S17_L									
202206	1	S16_D									
202207	2	S11_F	S11_S01								
202208	2	S01_F	S01_S01								
202209	1	NS13_F									
202301	1	NT_Floren									
202303	2	T07_F	T07_S01								
202304	2	T22_F	T22_S01								
202305	2	T05_F	T05_S01								
211801	8	F02_F	F02_S01	F03_F	F03_S01	F04_F	F04_S01	F05_F	F05_S01		
211802	2	T23_F	T23_S01								
211901	1	NT_Elf									
211902	1	S16_L									
211903	1	S16_D									
211904	1	S17_L									
211905	1	T22_F									
211906	2	T04_F	T04_S01								
211907	2	S03_F	S03_S01								
211908	1	CT_Elf									
212001	4	T04_F	T04_S01	T07_F	T07_S01						
212101	8	F03_F	F03_S01	F06_F	F06_S01	F08_F	F08_S01	F12_F	F12_S01		
212102	3	T14_F	T15_F	T16_F							
212103	5	D06_S01	B02_S02	D02_S01	D07_S02	F01_F					
212201	6	F02_F	F02_S01	T23_F	T23_S01	F04_F	F04_S01				
212202	5	F14_F	D05_F	D07_S02	B03_F	D02_S01					
212301	2	T02_F	T02_S01								
212302	2	T08_F	T08_S01								
212303	3	F17_S01	S01_S01	T14_S01							
212304	4	B03_S01	B02_S01	D03_S01	F14_F						
212401	3	D05_F	D05_S01	D05_S02							
212402	2	T16_F	T16_S01								
212403	2	T17_F	T17_S01								
212404	2	T23_F	T23_S01								
212405	1	S_Pirate									
212501	3	D01_F	D01_S01	D01_S02							
221701	3	T14_F	T15_F	T16_F							
221702	4	F12_F	F12_S01	F15_F	F15_S01						
221703	3	T14_F	T14_S01	F13_S01							
221801	4	S06_F	S06_S01	S12_F	S12_S01						
221802	2	T05_F	T05_S01								
221803	2	S02_F	S02_S01								
221804	2	T04_F	T04_S01								
221805	2	S12_F	S12_S01								
221806	4	B01_S01	B02_S01	B03_S01	B04_S01						
221807	7	T17_F	T17_S01	F12_F	F12_S01	F13_F	F14_F	F14_S01			
221901	1	NS13_F									
221902	1	NT_Oren									
221903	2	T20_F	T20_S01								
221904	2	T05_F	T05_S01								
221905	2	T22_F	T22_S01								
221906	2	T25_F	T25_S01								
221907	2	T01_F	T01_S01								
221908	2	T08_F	T08_S01								
221909	2	T21_F	T21_S01								
221910	5	F13_S01	F17_F	F17_S01	T10_F	T10_S01					
222001	7	F07_F	F07_S01	T18_F	T18_S01	T19_F	T19_S01	F12_S01			
222002	4	B01_F	D02_S02	D04_S01	D07_F						
222101	6	F06_F	F06_S01	F08_F	F08_S01	T23_F	T23_S01				
222102	4	D02_F	D02_S01	F03_F	F04_S01						
222201	1	NT_Giran									
222202	2	T22_F	T22_S01								
222203	2	T25_F	T25_S01								
222204	2	S02_F	S02_S01								
222205	2	T02_F	T02_S01								
222206	2	S04_F	S04_S01								
222207	2	T21_F	T21_S01								
222208	2	T01_F	T01_S01								
222209	2	T03_F	T03_S01								
222210	2	T06_F	T06_S01								
222211	2	T20_F	T20_S01								
222212	2	S01_F	S01_S01								
222213	2	T13_F	T13_S01								
222214	4	B01_S01	B02_S01	B03_S01	B04_S01						
222215	3	F17_S01	T08_S01	T06_S01							
222301	10	F01_F	F01_S01	F02_F	F02_S01	F03_F	F03_S01	F12_F	F12_S01	F07_F	F07_S01
222401	10	F01_F	F01_S01	F02_F	F02_S01	F03_F	F03_S01	F12_F	F12_S01	F07_F	F07_S01
222402	5	B03_F	D05_F	T23_F	D06_S01	B01_F					
222501	6	D01_F	D01_S01	D02_F	D02_S01	D05_S01	D05_S01				
231101	2	T15_F	T15_S01								
231201	4	NS17_F	D08_F	NS21_F	NS25_S01						
231202	8	F01_F	F01_S01	F02_F	F02_S01	F03_F	F03_S01	F12_F	F12_S01		
231203	3	F15_F	F16_F	F17_F							
231204	8	F01_F	F01_S01	F02_F	F02_S01	F03_F	F03_S01	F12_F	F12_S01		
231205	3	F15_F	F16_F	F17_F							
