id	name	description	rgb[0]	rgb[1]	rgb[2]	reserved1
20001	u,葛林\0	a,	9C	E8	A9	-1
20002	u,兔子\0	a,	9C	E8	A9	-1
20003	u,哥布林\0	a,	9C	E8	A9	-1
20004	u,安普\0	a,	9C	E8	A9	-1
20005	u,安普圖倫\0	a,	9C	E8	A9	-1
20006	u,獸人弓箭手\0	a,	9C	E8	A9	-1
20007	u,森林蘑菇\0	a,	9C	E8	A9	-1
20008	u,菲林蜥蜴人\0	a,	9C	E8	A9	-1
20009	u,普庫獸人\0	a,	9C	E8	A9	-1
20010	u,菲林蜥蜴人巡守\0	a,	9C	E8	A9	-1
20011	u,普庫獸人弓箭手\0	a,	9C	E8	A9	-1
20012	u,萊斯狼人\0	a,	9C	E8	A9	-1
20013	u,樹精\0	a,	9C	E8	A9	-1
20014	u,菲林蜥蜴人戰士\0	a,	9C	E8	A9	-1
20015	u,沼澤殭屍\0	a,	9C	E8	A9	-1
20016	u,岩石高崙\0	a,	9C	E8	A9	-1
20017	u,普庫獸人戰士\0	a,	9C	E8	A9	-1
20018	u,食人蘑菇\0	a,	9C	E8	A9	-1
20019	u,樹精利比\0	a,	9C	E8	A9	-1
20020	u,沼澤殭屍偵查員\0	a,	9C	E8	A9	-1
20021	u,紅毛熊\0	a,	9C	E8	A9	-1
20022	u,戰慄搜尋者\0	a,	9C	E8	A9	-1
20023	u,黑豹\0	a,	9C	E8	A9	-1
20024	u,朗克蜥蜴人戰士\0	a,	9C	E8	A9	-1
20025	u,亞黑暗鐮刀\0	a,	9C	E8	A9	-1
20026	u,廢墟殭屍\0	a,	9C	E8	A9	-1
20027	u,朗克蜥蜴人巡守\0	a,	9C	E8	A9	-1
20028	u,路行蜘蛛\0	a,	9C	E8	A9	-1
20029	u,廢墟殭屍頭目\0	a,	9C	E8	A9	-1
20030	u,朗克蜥蜴人\0	a,	9C	E8	A9	-1
20031	u,瑪瑙獸\0	a,	9C	E8	A9	-1
