ID	effect	UNK0	UNK1	UNK_F0	UNK2	UNK_F1[0]	UNK_F1[1]	UNK_F1[2]	UNK_F1[3]	UNK_F1[4]	UNK_F1[5]	UNK3	UNK4
1	PE_test_1	0	0	5.00000000	1	3.00000000	0.30000001	0.30000001	1.00000000	0.30000001	0.30000001	0	0
2	motionblur_OFF	3	0	5.00000000	1	255.00000000	3000.00000000	0.30000001	1.00000000	0.30000001	0.30000001	0	0
3	motionblur_OFF_quickly	3	0	5.00000000	1	255.00000000	500.00000000	0.30000001	1.00000000	0.30000001	0.30000001	0	0
4	motionblur_5	3	0	5.00000000	1	20.00000000	3000.00000000	0.30000001	1.00000000	0.30000001	0.30000001	0	0
5	motionblur_4	3	0	5.00000000	1	50.00000000	3000.00000000	0.30000001	1.00000000	0.30000001	0.30000001	0	0
6	motionblur_3	3	0	5.00000000	1	100.00000000	3000.00000000	0.30000001	1.00000000	0.30000001	0.30000001	0	0
7	motionblur_2	3	0	5.00000000	1	150.00000000	3000.00000000	0.30000001	1.00000000	0.30000001	0.30000001	0	0
8	motionblur_1	3	0	5.00000000	1	200.00000000	3000.00000000	0.30000001	1.00000000	0.30000001	0.30000001	0	0
9	motionblur_Gstar	3	0	0.00000000	1	20.00000000	3000.00000000	0.30000001	1.00000000	0.30000001	0.30000001	0	0
10	motionblur_OFF_quickly_Gstar	3	0	0.00000000	1	255.00000000	500.00000000	0.30000001	1.00000000	0.30000001	0.30000001	0	0
11	PE_01	2	0	0.00000000	0	1.00000000	1.00000000	1.00000000	0.36000001	0.17000000	0.17000000	0	0
12	PE_SC_03_Spacia_color_on	0	0	0.00000000	0	1.00000000	0.00000000	0.00000000	0.56000000	0.00000000	0.00000000	0	0
13	PE_SC_03_Spacia_color_off	0	2	0.00000000	0	1.00000000	0.00000000	0.00000000	0.56000000	0.00000000	0.00000000	0	0
14	motionblur_awaken	3	0	0.00000000	1	20.00000000	3000.00000000	0.30000001	1.00000000	0.30000001	0.30000001	0	0
