tag_?	quest_id	quest_prog	main_name	prog_name	description	cnt0	items[0]	items[1]	items[2]	items[3]	items[4]	items[5]	items[6]	items[7]	items[8]	items[9]	items[10]	items[11]	items[12]	items[13]	cnt1	num_items[0]	num_items[1]	num_items[2]	num_items[3]	num_items[4]	num_items[5]	num_items[6]	num_items[7]	num_items[8]	num_items[9]	num_items[10]	num_items[11]	num_items[12]	num_items[13]	SAKI_UNK	UNKNOWN_TABLE[0]	UNKNOWN_TABLE[1]	UNKNOWN_TABLE[2]	UNKNOWN_TABLE[3]	UNKNOWN_TABLE[4]	UNKNOWN_TABLE[5]	UNKNOWN_TABLE[6]	UNKNOWN_TABLE[7]	UNKNOWN_TABLE[8]	UNKNOWN_TABLE[9]	UNKNOWN_TABLE[10]	UNKNOWN_TABLE[11]	UNKNOWN_TABLE[12]	UNKNOWN_TABLE[13]	quest_x	quest_y	quest_z	cnt2	quest_x_1	quest_y_1	quest_z_1	quest_x_2	quest_y_2	quest_z_2	quest_x_3	quest_y_3	quest_z_3	quest_x_4	quest_y_4	quest_z_4	quest_x_5	quest_y_5	quest_z_5	UNK_VAL[0]	UNK_VAL[1]	UNK_VAL[2]	UNK_VAL[3]	UNK_VAL[4]	UNK_2	lvl_min	lvl_max	quest_type	entity_name	get_item_in_quest	UNK_3	UNK_4	UNK_5	contact_npc_id[0]	contact_npc_id[1]	contact_npc_id[2]	contact_npc_id[3]	contact_npc_id[4]	contact_npc_id[5]	contact_npc_id[6]	contact_npc_id[7]	contact_npc_x	contact_npc_y	contact_npc_z	restricions	short_description	cnt3	UNK_6	req_class[0]	req_class[1]	req_class[2]	req_class[3]	req_class[4]	req_class[5]	req_class[6]	req_class[7]	req_class[8]	req_class[9]	req_class[10]	req_class[11]	req_class[12]	req_class[13]	req_class[14]	req_class[15]	req_class[16]	req_class[17]	req_class[18]	req_class[19]	req_class[20]	req_class[21]	req_class[22]	req_class[23]	req_class[24]	req_class[25]	req_class[26]	req_class[27]	req_class[28]	req_class[29]	req_class[30]	req_class[31]	req_class[32]	req_class[33]	req_class[34]	req_class[35]	cnt4	req_item[0]	req_item[1]	req_item[2]	req_item[3]	req_item[4]	clan_pet_quest	req_quest_complete	UNK_7	area_id	UNK_8	cnt5	tab5[0]	tab5[1]	tab5[2]	tab5[3]	tab5[4]	tab5[5]	tab5[6]	tab5[7]	tab5[8]	tab5[9]	tab5[10]	cnt6	tab6[0]	tab6[1]	tab6[2]	tab6[3]	tab6[4]	tab6[5]	tab6[6]	tab6[7]	tab6[8]	tab6[9]	tab6[10]	cnt7	tab7[0]	tab7[1]	tab7[2]	tab7[3]	tab7[4]	tab7[5]	tab7[6]	tab7[7]
1	11	1	u,與肯特拉獸人的密會\0	u,拜訪商人雷恩\0	u,到高達特城鎮的武器與防具商店去拜訪商人 雷恩吧。從他那兒接收要轉交給肯特拉獸人部族的軍用品箱子吧。\\n\0	1	7231														1	0														1	1														148832.00000000	-58960.00000000	-2965.00000000	0																					0	74	80	3	u,商人 雷恩\0	0	1	1	1	31296								147920.00000000	-59424.00000000	-2982.00000000	u,沒有條件限制\0	u,好戰的肯特拉獸人們在高達特領地具有雄厚的勢力。警衛凱德曼說是可以給予一個能接近肯特拉部族的機會，並建議了一個任務...\0	0																																						0						0	0	0	180	0	2	15623	15624										2	82045	6047										1	0							
1	11	2	u,與肯特拉獸人的密會\0	u,拜訪肯特拉傳令\0	u,從高達特城鎮的商人 雷恩接收了軍用品箱子。現在將那個轉交給在肯特拉獸人前哨基地的肯特拉傳令 瓦康吧。\\n\0	1	7231														1	0														1	1														146980.00000000	-67483.00000000	-3656.00000000	0																					0	74	80	3	u,肯特拉傳令 瓦康\0	0	1	1	1	31296								147920.00000000	-59424.00000000	-2982.00000000	u,沒有條件限制\0	u,好戰的肯特拉獸人們在高達特領地具有雄厚的勢力。警衛凱德曼說是可以給予一個能接近肯特拉部族的機會，並建議了一個任務...\0	0																																						0						0	0	0	180	0	2	15623	15624										2	82045	6047										1	1							
1	11	-1	u,與肯特拉獸人的密會\0	a,	a,	0															0															0															0.00000000	0.00000000	0.00000000	0																					0	74	80	3	a,	1	1	1	1	31296								147920.00000000	-59424.00000000	-2982.00000000	u,沒有條件限制\0	u,好戰的肯特拉獸人們在高達特領地具有雄厚的勢力。警衛凱德曼說是可以給予一個能接近肯特拉部族的機會，並建議了一個任務...\0	0																																						0						0	0	0	180	0	2	15623	15624										2	82045	6047										1	2							
1	12	1	u,與巴瑞卡賽勒諾斯的密會\0	u,拜訪商人哈姆特\0	u,到高達特城鎮的武器與防具商店去拜訪商人 哈姆特吧。從他那兒接收要轉交給巴瑞卡賽勒諾斯部族的軍用品箱子吧。\\n\0	1	7232														1	0														1	1														149000.00000000	-58876.00000000	-2965.00000000	0																					0	74	80	3	u,商人 哈姆特\0	0	1	1	1	31296								147920.00000000	-59424.00000000	-2982.00000000	u,沒有條件限制\0	u,戰鬥型的巴瑞卡賽勒諾斯們在高達特領地具有雄厚的勢力。警衛凱德曼說是可以給予一個能接近巴瑞卡部族的機會，並建議了一個任務...\0	0																																						0						0	0	0	180	0	2	15623	15624										2	233125	18142										1	0							
1	12	2	u,與巴瑞卡賽勒諾斯的密會\0	u,拜訪巴瑞卡傳令\0	u,從高達特城鎮的商人 哈姆特接收了軍用品箱子。現在將那個轉交給在巴瑞卡賽勒諾斯兵營的巴瑞卡傳令 那朗 阿夏努克吧。\\n\0	1	7232														1	0														1	1														125440.00000000	-40944.00000000	-3701.00000000	0																					0	74	80	3	u,巴瑞卡傳令 那朗 阿夏努克\0	0	1	1	1	31296								147920.00000000	-59424.00000000	-2982.00000000	u,沒有條件限制\0	u,戰鬥型的巴瑞卡賽勒諾斯們在高達特領地具有雄厚的勢力。警衛凱德曼說是可以給予一個能接近巴瑞卡部族的機會，並建議了一個任務...\0	0																																						0						0	0	0	180	0	2	15623	15624										2	233125	18142										1	1							
1	12	-1	u,與巴瑞卡賽勒諾斯的密會\0	a,	a,	0															0															0															0.00000000	0.00000000	0.00000000	0																					0	74	80	3	a,	1	1	1	1	31296								147920.00000000	-59424.00000000	-2982.00000000	u,沒有條件限制\0	u,戰鬥型的巴瑞卡賽勒諾斯們在高達特領地具有雄厚的勢力。警衛凱德曼說是可以給予一個能接近巴瑞卡部族的機會，並建議了一個任務...\0	0																																						0						0	0	0	180	0	2	15623	15624										2	233125	18142										1	2							
1	13	1	u,運送小貨物\0	u,運送小貨物\0	u,受到高達特城鎮礦物商人方汀的送貨要請，把小貨物送給諸神熔爐底層的鐵匠沃爾昆。前往諸神熔爐底層，尋找鐵匠沃爾昆。\\n\0	0															0															0															180352.00000000	-111888.00000000	-5826.00000000	0																					0	74	80	3	u,鐵匠 沃爾昆\0	0	1	1	1	31274								146688.00000000	-59008.00000000	-2972.00000000	u,沒有條件限制\0	u,高達特城鎮礦物商人方汀說他有一個急件，需要火速轉達到諸神的熔爐內部…。\0	0																																						0						0	0	0	180	0	3	15623	15624	57									3	1279632	1400622	271980									1	0							
1	13	-1	u,運送小貨物\0	a,	a,	0															0															0															0.00000000	0.00000000	0.00000000	0																					0	74	80	3	a,	1	1	1	1	31274								146688.00000000	-59008.00000000	-2972.00000000	u,沒有條件限制\0	u,高達特城鎮的礦物商人 方汀說是有個急件，必須火速轉達至諸神的熔爐內部...\0	0																																						0						0	0	0	180	0	3	15623	15624	57									3	1279632	1400622	271980									1	1							
1	14	1	u,考古學者的行蹤\0	u,遞送信函\0	u,高達特城鎮商人里傑要送一封信給朋友，這位友人過去曾是城鎮內的一位考古學家。在幾年前，他曾收到這個朋友的一封信，信裡說他要去帝國之墓，從此也就斷了音訊…\\n\0	0															0															0															181611.00000000	-75293.00000000	-2728.00000000	0																					0	74	80	3	a,???\0	0	1	1	1	31263								149312.00000000	-57360.00000000	-2966.00000000	u,沒有條件限制\0	u,高達特城鎮商人莉潔說他有一封信要交給多年前離開村莊的考古學家朋友…。\0	0																																						0						0	0	0	180	0	3	15623	15624	57									3	853088	933748	181320									1	0							
1	14	-1	u,考古學者的行蹤\0	a,	a,	0															0															0															0.00000000	0.00000000	0.00000000	0																					0	74	80	3	a,	1	1	1	1	31263								149312.00000000	-57360.00000000	-2966.00000000	u,沒有條件限制\0	u,高達特城鎮商人 莉潔說他有一封信要轉交給多年前離開村莊的考古學家朋友...\0	0																																						0						0	0	0	180	0	3	15623	15624	57									3	853088	933748	181320									1	1							
