id	unk_0[0]	unk_0[1]	unk_0[2]	desc	desc2	unk_1[0]	unk_1[1]	cnt0	unk_2[0]	unk_2[1]	unk_2[2]	unk_2[3]	unk_2[4]	unk_2[5]	unk_2[6]	unk_2[7]	unk_2[8]	unk_2[9]	unk_2[10]	unk_2[11]	unk_2[12]	unk_2[13]	unk_2[14]	unk_2[15]	unk_2[16]
1	-1	0	0	u,一般館\0	u,個\0	0	0	17	6	7	8	9	10	11	12	22	32	42	52	53	54	61	68	69	70
6	0	0	1	u,獲得經驗值\0	a,	0	0	0																	
7	1	0	1	u,獲得金幣\0	u,金幣\0	0	0	0																	
8	2	0	1	u,遊戲時間\0	u,分\0	2	0	0																	
9	3	0	1	u,戰鬥時間\0	u,分\0	2	0	0																	
10	4	0	1	u,組隊時間\0	u,分\0	2	0	0																	
11	5	0	1	u,滿員組隊時間\0	u,分\0	2	0	0																	
12	-1	0	1	u,武器最大強化\0	a,	0	0	9	13	14	15	16	17	18	19	20	21								
13	21	10	12	a,R99\0	a,	0	1	0																	
14	21	9	12	a,R95\0	a,	0	1	0																	
15	21	8	12	a,R\0	a,	0	1	0																	
16	21	6	12	a,S80\0	a,	0	1	0																	
17	21	5	12	a,S\0	a,	0	1	0																	
18	21	4	12	a,A\0	a,	0	1	0																	
19	21	3	12	a,B\0	a,	0	1	0																	
20	21	2	12	a,C\0	a,	0	1	0																	
21	21	1	12	a,D\0	a,	0	1	0																	
22	-1	0	1	u,防具最大強化\0	a,	0	0	9	23	24	25	26	27	28	29	30	31								
23	23	10	22	a,R99\0	a,	0	1	0																	
24	23	9	22	a,R95\0	a,	0	1	0																	
25	23	8	22	a,R\0	a,	0	1	0																	
26	23	6	22	a,S80\0	a,	0	1	0																	
27	23	5	22	a,S\0	a,	0	1	0																	
28	23	4	22	a,A\0	a,	0	1	0																	
29	23	3	22	a,B\0	a,	0	1	0																	
30	23	2	22	a,C\0	a,	0	1	0																	
31	23	1	22	a,D\0	a,	0	1	0																	
32	-1	0	1	u,嘗試武器強化\0	a,	0	0	9	33	34	35	36	37	38	39	40	41								
33	22	10	32	a,R99\0	u,次\0	0	1	0																	
34	22	9	32	a,R95\0	u,次\0	0	1	0																	
35	22	8	32	a,R\0	u,次\0	0	1	0																	
36	22	6	32	a,S80\0	u,次\0	0	1	0																	
37	22	5	32	a,S\0	u,次\0	0	1	0																	
38	22	4	32	a,A\0	u,次\0	0	1	0																	
39	22	3	32	a,B\0	u,次\0	0	1	0																	
40	22	2	32	a,C\0	u,次\0	0	1	0																	
41	22	1	32	a,D\0	u,次\0	0	1	0																	
42	-1	0	1	u,嘗試防具強化\0	a,	0	0	9	43	44	45	46	47	48	49	50	51								
43	24	10	42	a,R99\0	u,次\0	0	1	0																	
44	24	9	42	a,R95\0	u,次\0	0	1	0																	
45	24	8	42	a,R\0	u,次\0	0	1	0																	
46	24	6	42	a,S80\0	u,次\0	0	1	0																	
47	24	5	42	a,S\0	u,次\0	0	1	0																	
48	24	4	42	a,A\0	u,次\0	0	1	0																	
49	24	3	42	a,B\0	u,次\0	0	1	0																	
50	24	2	42	a,C\0	u,次\0	0	1	0																	
51	24	1	42	a,D\0	u,次\0	0	1	0																	
52	11	0	1	u,個人商店銷售量\0	u,次\0	0	0	0																	
53	12	0	1	u,任務完成\0	u,次\0	0	0	0																	
54	-1	0	1	u,靈魂彈使用量\0	a,	0	0	6	55	56	57	58	59	60											
