nbr	zone_color_id	x_world_grid	y_world_grid	top_z	bottom_z	zone_name	coords?[0]	coords?[1]	coords?[2]	coords?[3]	coords?[4]	coords?[5]	unk02	map	dupa[0]	dupa[1]	dupa[2]	dupa[3]	dupa[4]
0	0	0	0	30000.00000000	-30000.00000000	u,中立海域\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
1	1	0	0	30000.00000000	-30000.00000000	u,說話之島\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
2	2	0	0	30000.00000000	-30000.00000000	u,古魯丁領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
3	3	0	0	30000.00000000	-30000.00000000	u,狄恩領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
4	4	0	0	30000.00000000	-30000.00000000	u,奇岩領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
5	5	0	0	30000.00000000	-30000.00000000	u,黑暗精靈森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
6	6	0	0	30000.00000000	-30000.00000000	u,精靈森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
7	7	0	0	30000.00000000	-30000.00000000	u,歐瑞領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
8	8	0	0	30000.00000000	-30000.00000000	u,亞丁領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
9	9	0	0	30000.00000000	-30000.00000000	u,因納得立領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
10	10	0	0	30000.00000000	-30000.00000000	u,薄霧山脈\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
11	11	0	0	30000.00000000	-30000.00000000	u,中立地帶\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
12	12	0	0	30000.00000000	-30000.00000000	u,龍之谷\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
13	13	0	0	30000.00000000	-30000.00000000	u,里歐領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
14	14	0	0	30000.00000000	-30000.00000000	u,修加特領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
15	15	0	0	30000.00000000	-30000.00000000	u,荒原\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
16	252	18	21	30000.00000000	-30000.00000000	u,帕米爾湖\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0	0	0	0	0
